objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,display_template,filename,object_location,image_small,image_thumb,extension,box_num,folder_num,id_num
ce_b81_f8-item19,,People skiing on a groomed surface,,,N/A,yes,A photographic slide of a snowy landscape. Multiple people are skiing across the landscape.,skiing,,,,,,,,,CE_B81_F8-Item19,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item19
ce_b81_f8-item20,,The base of a chairlift,,,N/A,yes,A photographic slide of a chairlift at a ski resort. There are two people standing underneath the chair lift and a small building next to it.,skiing,,,,,,,,,CE_B81_F8-Item20,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item20
ce_b81_f8-item21,,Two person skiing,,,N/A,yes,A photographic slide of a person skiing down a flat surface. There is a second person on the side of the photo.,skiing,,,,,,,,,CE_B81_F8-Item21,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item21
ce_b81_f8-item22,,Ski hill and chair lift,,,N/A,yes,A photographic slide of a snowy bald faced mountain. The top has a chair lift and a bunch of skiers on the hill.,skiing,,,,,,,,,CE_B81_F8-Item22,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item22
ce_b81_f8-item23,,Ski resort lodge on top a mountain,,,N/A,yes,"A photographic slide of a ski hill. There is a bald faced skiing area, some trees surrounding, and a building on top of the hill.",skiing,,,,,,,,,CE_B81_F8-Item23,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item23
ce_b81_f8-item24,,Dog sled on a trail,,,N/A,yes,A photographic slide of a person behind a dog sled. There are many dogs and some people in the sled. They are in a snowy field.,dog racing sleds,,,,,,,,,CE_B81_F8-Item24,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item24
ce_b81_f8-item25,,A canal of water,,,N/A,yes,A photographic slide of people standing next to a canal of water and a building on the side. There seems to be a a railroad underneath the water.,railroads (infrastructure),,,,,,,,,CE_B81_F8-Item25,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item25
ce_b81_f8-item26,,A rocky creek,,,N/A,yes,A photographic slide of a creek and a rocky shore. There seems to be a waterfall or snow in the background.,rocky beaches; nature photography,,,,,,,,,CE_B81_F8-Item26,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item26
ce_b81_f8-item27,,A large creek with green rocks,,,N/A,yes,A photographic slide of a wide creek with many bushes and rocks along the shore. The rocks in the water appear green.,nature photography,,,,,,,,,CE_B81_F8-Item27,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item27
ce_b81_f8-item28,,A waterfall and lots of mist,,,N/A,yes,A photographic slide of a waterfall and large rocks. There are rocky mountains in the background.,nature photography,,,,,,,,,CE_B81_F8-Item28,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,slide,Image;StillImage,image/jpeg,no matching item on server,archives,record,,,,,,B81,F8,F8-Item28
