identifier,matching_objects,image_thumb,image_small,object-type,title,"creator (Lastname, Firstname; Lastname, Firstname)","recipient (Lastname, Firstname; Lastname, Firstname)",date (yyyy-mm-dd or yyyy-mm or yyyy),"date is approximate? (yes, or blank)",description (1-3 sentences),"subject (subject1; subject2)
in most cases, aim for 3 or more subjects, but less is okay
controlled vocab lookup: https://www.getty.edu/research/tools/vocabularies/aat/","associated names (Lastname, Firstname; Lastname, Firstname)","location 1 (City, State)","latitude / longitude 1 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","location 2 (City, State)","latitude / longitude 2 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","doc length x width l""xw""",cabinet,drawer,box,bag,"type (biface, projectile point, etc.)",material,material source,length (mm),width (mm),thickness (mm),weight (g),count,source,"original format (i.e. letter, newspaper clipping, artifact, etc.)",type,"language
code lookup: http://www.loc.gov/standards/iso639-2/php/code_list.php",rights (before 1926 = no copyright; after 1926 or not sure = in copyright),student initials,"publish? (no, or blank)","GGOI? (yes, or blank"
CE_B1_F4-Item130,CE_B1_F4-Item130.pdf,thumbs/ce_b1_f4-item130_th.jpg,small/ce_b1_f4-item130_sm.jpg,pdf,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.","Byers, Douglas S.",1973-12-20,,"Typewritten letter from Donald Crabtree to Douglas Byers where he gave his sympathy for Byers' granddaughter's accident, and updated him on his and Evelyn's heath. He discussed the changes at Idaho State University since Earl Swanson's return to the department and his current work in lithics.",personal correspondence; health; travel; lithics; paper; techniques; experimental archaeology,"Swanson, Earl; Butler; Crabtree, Evelyn;","Kimberly, Idaho","42.5335805982885, -114.36611902175405","Andover, Massachusetts","42.65865209238014, -71.13307507847972",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item132,CE_B1_F4-Item132.pdf,thumbs/ce_b1_f4-item132_th.jpg,small/ce_b1_f4-item132_sm.jpg,pdf,Letter from Douglas Byers to Donald Crabtree,"Byers, Douglas S.","Crabtree, Donald ""Don"" E.",1973-12-26,,Typewritten letter from Douglas Byers where he updated Crabtree on his granddaughter's health and gave his condolences for Donald and Evelyn's health. He discussed his opinions of Butler and his work.,personal correspondence; heath; typewritten,"Butler; Crabtree, Evelyn","Andover, Massachusetts","42.65865209238014, -71.13307507847972",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item60,CE_B1_F4-Item60.pdf,thumbs/ce_b1_f4-item60_th.jpg,small/ce_b1_f4-item60_sm.jpg,pdf,Letter from Donald Crabtree to Dixie Bonnichsen,"Crabtree, Donald ""Don"" E.","Bonnichsen, Dixie",1970-10-01,,Copy of a typewritten letter from Donald Crabtree to Dixie Bonnichsen where he talked about what was going on in his personal life and who he had been seeing recently.,personal correspondence; field school; health; typewritten,"Tixier, Jacques; Bordes, Francois; Swanson, Earl; Tixier, Dominique; Lucille; Lou; Wormington; Bradley, Bruce","Kimberly, Idaho","42.5335805982885, -114.36611902175405",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item62,CE_B1_F4-Item62.pdf,thumbs/ce_b1_f4-item62_th.jpg,small/ce_b1_f4-item62_sm.jpg,pdf,Letter from Rob Bonnichsen to Donald Crabtree,"Bonnichsen, Rob","Crabtree, Donald ""Don"" E.",1977-09-06,,Handwritten letter from Rob Bonnichsen to Donald Crabtree. He wrote to attach a note that was published Science that held a cure to herpes encephalitis.,personal correspondence; handwritten; research; article,,"Orono, Maine","44.88231013502595, -68.67350020025076",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Handwritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F5-Item38,CE_B1_F5-Item38.pdf,thumbs/ce_b1_f5-item38_th.jpg,small/ce_b1_f5-item38_sm.jpg,pdf,Letter from Junius Bird to Donald Crabtree,"Bird, Junius B.","Crabtree, Donald ""Don"" E.",1971-08-25,,Handwritten letter from Junius Bird to Donald Crabtree detailing why he would not accept Carl Phagan's request to excavate the Madden Lake site for his Ph.D. dissertation.,professional correspondence; research; excavation (sites); handwritten,"Phagan, Carl; Gould, Dick","New York, New York","40.70756044014964, -73.98246136239544",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Handwritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F5-Item39,CE_B1_F5-Item39.pdf,thumbs/ce_b1_f5-item39_th.jpg,small/ce_b1_f5-item39_sm.jpg,pdf,Letter from Donald Crabtree to Junius Bird,"Crabtree, Donald ""Don"" E.","Bird, Junius B.",1971-09-22,,Typewritten letter from Donald Crabtree to Junius Bird regarding why Carl Phagan was denied for the Madden Lake excavation site. He then discussed how the field school went and his current experiments.,personal correspondence; research; vacation; travel; excavation (sites); health; experimental archaeology; field school; typewritten,"Phagan, Carl; Loftin; Snyder; Peggy; Dick; McBurney; White, Peter; Bucy, Doug; Crabtree, Evelyn; Fitting, James; Bordes, Francois; Rovner, Irving; Lewis, Lucy","Kimberly, Idaho","42.5335805982885, -114.36611902175405","New York, New York","40.70756044014964, -73.98246136239544",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F5-Item40,CE_B1_F5-Item40.pdf,thumbs/ce_b1_f5-item40_th.jpg,small/ce_b1_f5-item40_sm.jpg,pdf,Letter from Junius Bird to Donald Crabtree,"Bird, Junius B.","Crabtree, Donald ""Don"" E.",1971-09-30,,Typewritten letter from Junius Bird where he updated Crabtree on the situation with Carl Phagan and where he thinks that the excavation idea came from. He said he would try to have someone examine the material if he could find someone he trusted and he would report back to Crabtree.,personal correspondence; research; excavation (sites); typewritten,"Phagan, Carl; McNeish; Scottie; Lucy","New York, New York","40.70756044014964, -73.98246136239544","Kimberly, Idaho","42.5335805982885, -114.36611902175405",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F5-Item41,CE_B1_F5-Item41.pdf,thumbs/ce_b1_f5-item41_th.jpg,small/ce_b1_f5-item41_sm.jpg,pdf,Letter from Donald Crabtree to Junius Bird,"Crabtree, Donald ""Don"" E.","Bird, Junius B.",1971-11-04,,"Typewritten letter from Donald Crabtree where he told Junius Bird that he discovered who recommended Carl Phagan to write to Bird about excavating the Manning Lake site, and said he hadn't heard anything from Phagan recently. He updated him on his recent travels and work.",personal correspondence; research; experimental archaeology; excavation (sites); travel; conferencess; typewritten,"Phagan, Carl; Daugherty; Bordes, Francois; Fitting; Patterson, Tom; Stockman; Karen; Dick; Peggy; Lewis Johnson, Lucy","Kimberly, Idaho","42.5335805982885, -114.36611902175405","New York, New York","40.70756044014964, -73.98246136239544",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F5-Item48,CE_B1_F5-Item48.pdf,thumbs/ce_b1_f5-item48_th.jpg,small/ce_b1_f5-item48_sm.jpg,pdf,Letter from Junius Bird to Donald Crabtree,"Bird, Junius B.","Crabtree, Donald ""Don"" E.",1976-10-19,,Handwritten letter from Junius Bird to give his condolences for Evelyn's passing.,personal correspondence; death; handwritten,Marie,"New York, New York","40.70756044014964, -73.98246136239544",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Handwritten correspondence,Text,eng,No Copyright,JH,no,
CE_B11_F2-Item87,CE_B11_F2-Item87.pdf,thumbs/ce_b11_f2-item87_th.jpg,small/ce_b11_f2-item87_sm.jpg,pdf,Card from Jacques Tixier to Donald and Evelyn Crabtree,"Tixier, Jacques","Crabtree, Donald ""Don"" E; Crabtree, Evelyn",N/A,N/A,Card from Jacques Tixier wishing a happy new year. Tixier informs Crabtree of his separation from his wife.,familial problems; well wishes; holiday card; personal correspondence,Juliette Tixier,"Paris, France","48.85770423805408, 2.350809629578002","Kimberly, Idaho","42.86404721001556, -112.44863212006550",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,letter,Text,eng; fre,In Copyright,CD,no,
CE_B11_F6-Item77,CE_B11_F6-Item77.pdf,thumbs/ce_b11_f6-item77_th.jpg,small/ce_b11_f6-item77_sm.jpg,pdf,Letter from Donald Crabtree to George F. Wili,"Crabtree, Donald ""Don"" E.","Wili, George F.",1972-11-27,,Letter sharing Crabtree's health issues. He was interested in Muller-Beck's work with Wili and shares that he is sending a folsom point for Wili's use.,professional correspondence; lithic technology; flintknapping; travel; illness; health; material exchange; artifact exchange,Hans Muller-Beck,"Kimberly, Idaho","42.86404721001556, -112.44863212006556","Zurich, Switzerland","47.37649041487005, 8.5411967171492",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Letter,Text,eng,In Copyright,CD,no,
CE_B11_F6-Item78,CE_B11_F6-Item78.pdf,thumbs/ce_b11_f6-item78_th.jpg,small/ce_b11_f6-item78_sm.jpg,pdf,Letter from George F. Wili to Donald Crabtree,"Wili, George F.","Crabtree, Donald ""Don"" E.",1973-02-20,,Letter asking if Crabtree received the knife Wili sent. He discusses his visit with Muller-Beck and shares travel plans in the U.S.A.,professional correspondence; lithic technology; flintknapping; travel; material exchange; artifact exchange,Hans Muller-Beck,"Zurich, Switzerland","47.37649041487005, 8.5411967171492","Kimberly, Idaho","42.86404721001556, -112.44863212006556",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Letter,Text,eng,In Copyright,CD,no,
CE_B11_F6-Item87,CE_B11_F6-Item87.pdf,thumbs/ce_b11_f6-item87_th.jpg,small/ce_b11_f6-item87_sm.jpg,pdf,Letter from George F. Wili to Donald Crabtree,"Wili, George F.","Crabtree, Donald ""Don"" E.",N/A,N/A,"Letter sharing Wili's health issues, personal life transitions, and folsom points.",personal correspondence; flintknapping; experimental archaeology; illness; health; marriage,N/A,"Santa Monica, California","34.02000591459737, -118.48659254556995","Kimberly, Idaho","42.86404721001556, -112.44863212006556",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Letter,Text,eng,In Copyright,CD,no,
CE_B11_F6-Item90,CE_B11_F6-Item90.pdf,thumbs/ce_b11_f6-item90_th.jpg,small/ce_b11_f6-item90_sm.jpg,pdf,Card from George Wili to Donald Crabtree,"Wili, George F.","Crabtree, Donald ""Don"" E.",1905-05-31,yes,Letter discussing personal changes and health issues. He wishes happy holidays.,personal correspondence; health; marriage; flintknapping,N/A,N/A,N/A,"Kimberly, Idaho","42.86404721001556, -112.44863212006556",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Card,Text,eng,In Copyright,CD,no,
CE_B19_F1-Item1,CE_B19_F1-Item1.pdf,thumbs/ce_b19_f1-item1_th.jpg,small/ce_b19_f1-item1_sm.jpg,pdf,Reserve Life Insurance Company Benefit Coverage check,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Benefit coverage check,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item10,CE_B19_F1-Item10.pdf,thumbs/ce_b19_f1-item10_th.jpg,small/ce_b19_f1-item10_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item100,CE_B19_F1-Item100.pdf,thumbs/ce_b19_f1-item100_th.jpg,small/ce_b19_f1-item100_sm.jpg,pdf,Receipt,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item101,CE_B19_F1-Item101.pdf,thumbs/ce_b19_f1-item101_th.jpg,small/ce_b19_f1-item101_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item102,CE_B19_F1-Item102.pdf,thumbs/ce_b19_f1-item102_th.jpg,small/ce_b19_f1-item102_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item103,CE_B19_F1-Item103.pdf,thumbs/ce_b19_f1-item103_th.jpg,small/ce_b19_f1-item103_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item104,CE_B19_F1-Item104.pdf,thumbs/ce_b19_f1-item104_th.jpg,small/ce_b19_f1-item104_sm.jpg,pdf,Medicare Benefits Record,N/A,N/A,1979-02-02,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Benefits record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item105,CE_B19_F1-Item105.pdf,thumbs/ce_b19_f1-item105_th.jpg,small/ce_b19_f1-item105_sm.jpg,pdf,Medication Record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item106,CE_B19_F1-Item106.pdf,thumbs/ce_b19_f1-item106_th.jpg,small/ce_b19_f1-item106_sm.jpg,pdf,Explanation of Benefits,N/A,N/A,1979-04-10,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item107,CE_B19_F1-Item107.pdf,thumbs/ce_b19_f1-item107_th.jpg,small/ce_b19_f1-item107_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1979-02-13,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item108,CE_B19_F1-Item108.pdf,thumbs/ce_b19_f1-item108_th.jpg,small/ce_b19_f1-item108_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1979-03-13,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
