objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,display_template,filename,object_location,image_small,image_thumb,extension,box_num,folder_num,id_num
ce_b1_f2-item2,,Letter from Donald Crabtree to Robert Ackerman,"Crabtree, Donald ""Don"" E.",1972-04-29,1972-04-29,,Typewritten letter to Ackerman from Crabtree thanking him for hosting him during a visit to Pullman. He then detailed how they returned home and gave updates on some mutual friends.,personal correspondence; typewritten; letters; travel,"Ackerman, Robert ""Bob""","Bordes, Francois; Bradley, Bruce; Fremlin, John; Swanson, Earl","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Pullman, Washington",46.729904578240074,-117.18999147718061,CE_B1_F2-Item2,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item2.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item2.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item2_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item2_th.jpg,pdf,B1,F2,F2-Item2
ce_b1_f2-item20,,"Possible artifact from mammoth site in Hot Springs, South Dakota","Agenbroad, Larry; Crabtree, Donald ""Don"" E.",1978-02-18,1978-02-18,,Page one: Typewritten letter where Crabtree asked Agenbroad to fill in some notes regarding gravel size and flake position in relation to the skull. Page two: Article that details a piece of fossiliferous flint Larry Agenbroad found associated with a mammoth skull which is hypothesized to provide a clue contemporary existence of man.,personal correspondence; typewritten; lithics; article; excavation (sites),"Crabtree, Donald ""Don"" E.; Agenbroad, Larry","Titmus, Gene","Chadron, Nebraska",42.82934786534046,-102.99942780634476,,,,CE_B1_F2-Item20,"6.5""x8.5""; 8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item20.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item20.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item20_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item20_th.jpg,pdf,B1,F2,F2-Item20
ce_b1_f2-item21,,Letter from Larry Agenbroad to Donald Crabtree,"Agenbroad, Larry",1978-02-18,1978-02-18,,"Handwritten letter where Agenbroad wrote to Crabtree to thank him for a visit to Idaho and he sent him information of the mammoth skull found, and plates of the projectile points found on site.",personal correspondence; handwritten; lithics; travel; excavation (sites),"Crabtree, Donald ""Don"" E.",Gene; David; Steve,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,,,,CE_B1_F2-Item21,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,handwritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item21.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item21.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item21_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item21_th.jpg,pdf,B1,F2,F2-Item21
ce_b1_f2-item22,,Card from Wanda Agenbroad,"Agenbroad, Wanda",1978-03-03,1978-03-03,,"Front: quote of Psalm 121: 1-8. Inside: Wanda writes to Don thanking him for an arrowhead he made for her, and to say her husband Larry was happy to visit him. She hoped to see him at an Explorer’s Club dinner soon. There is also an envelope addressed to Crabtree with the card.",personal correspondence; holiday card; envelope,"Crabtree, Donald ""Don"" E.","Agenbroad, Brett; Agenbroad, Finn; Poco","Chadron, Nebraska",42.82934786534046,-102.99942780634476,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item22,"3.5""x5.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,greeting card,Text; Image;StillImage,application/pdf,,archives,pdf,CE_B1_F2-Item22.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item22.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item22_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item22_th.jpg,pdf,B1,F2,F2-Item22
ce_b1_f2-item23,,Holiday card with letter from Wanda Agenbroad,"Agenbroad, Wanda",1978-12-01,1978-12-01,,Outside: Art of a shepherd looking at a town in the distance with his sheep. Inside: Wanda wrote a note to Don. Wanda also typed an impersonal letter detailing the year’s accomplishments for the Agenbroad family.,personal correspondence; holiday card; letters,"Crabtree, Donald ""Don"" E.","Agenbroad, Brett; Agenbroad, Finn; Agenbroad; Larry","Flagstaff, Arizona",35.2059484332646,-111.59558498019055,,,,CE_B1_F2-Item23,"5""x7""; 6""x9.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,handwritten and typewritten correspondence; greeting card,Text; Image;StillImage,application/pdf,,archives,pdf,CE_B1_F2-Item23.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item23.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item23_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item23_th.jpg,pdf,B1,F2,F2-Item23
ce_b1_f2-item24,,Christmas card from Agenbroad family,"Agenbroad, Wanda",,N/A,,Outside: Art of three red robins next to wagon wheel covered in snow. Inside: Wanda writes to Don congratulating him on feeling better and giving him an update on the family’s health and recent developments.,personal correspondence; holiday card,"Crabtree, Donald ""Don"" E.",Marie,,,,,,,CE_B1_F2-Item24,"4.5""x6.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,greeting card,Text; Image;StillImage,application/pdf,,archives,pdf,CE_B1_F2-Item24.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item24.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item24_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item24_th.jpg,pdf,B1,F2,F2-Item24
ce_b1_f2-item25,,Get well soon card from Larry Agenbroad,"Agenbroad, Larry",,N/A,,Outside: Art of man in hospital bed with start of joke. Inside: End of joke. Larry wrote on the side that he was happy to visit Don while he was in the hospital and that as soon as he was feeling better he would send him a tool to study.,personal correspondence; greeting card; health; tool sharing,"Crabtree, Donald ""Don"" E.",,,,,,,,CE_B1_F2-Item25,"8.5""x4""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,greeting card,Text; Image;StillImage,application/pdf,,archives,pdf,CE_B1_F2-Item25.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item25.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item25_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item25_th.jpg,pdf,B1,F2,F2-Item25
ce_b1_f2-item26,,Letter from George Agogino to Earl Swanson,"Agogino, George",,N/A,,"Typewritten letter wherein George Agogino wrote to Earl Swanson to recommend a student to Swanson’s summer program. There is a handwritten note on the bottom of the page reading the name Irvin Rovner, who may be the student in question. There is a note directed to Crabtree at the end saying that Agogino stating the student is a good man and said that he is well advanced in flaking.",personal correspondence; letter of recommendation; field school; typewritten,"Swanson, Earl","Irwin-Williams, Cynthia; Rovner, Irvin","Portales, New Mexico",34.18763622670309,-103.33258431768486,"Pocatello, Idaho",42.89635373189648,-112.20147608628997,CE_B1_F2-Item26,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item26.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item26.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item26_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item26_th.jpg,pdf,B1,F2,F2-Item26
ce_b1_f2-item27,,Letter from George Agogino to Donald Crabtree,"Agogino, George",1970-08-19,1970-08-19,,Typewritten letter where Agogino wrote to Crabtree to inform him that he had sent half to one fourths of the collection to Crabtree to evaluate and return. He also said that that Irvin Rovner was pleased to have studied under Crabtree.,personal correspondence; typewritten; tool exchange; artifact identification,"Crabtree, Donald ""Don"" E.","Issequilla, Alberto; Rovner, Irvin","Portales, New Mexico",34.18763622670309,-103.33258431768486,"Twin Falls, Idaho",42.55628840151748,-114.47099015234662,CE_B1_F2-Item27,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item27.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item27.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item27_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item27_th.jpg,pdf,B1,F2,F2-Item27
ce_b1_f2-item29,,Letter from George Agogino about Evelyn’s illness,"Agogino, George",1970-10-09,1970-10-09,,Typewritten letter where Agogino wrote back to Crabtree that was delighted Crabtree was pleased with Irwin Rovner. He wishes Evelyn well wishes and that everyone is upset about the news of her illness since she is highly respected in the profession. He shares that his mother is hospitalized for the same issue.,personal correspondence; typewritten; health,"Crabtree, Donald ""Don"" E.","Rovner, Irvin; Crabtree, Evelyn","Portales, New Mexico",34.18763622670309,-103.33258431768486,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item29,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item29.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item29.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item29_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item29_th.jpg,pdf,B1,F2,F2-Item29
ce_b1_f2-item3,,Letter of recommendation for James P. Green from Donald Crabtree to Robert Akerman,"Crabtree, Donald ""Don"" E.",1972-03-21,1972-03-21,,"Typewritten letter of recommendation written by Crabtree for James P. (Pat) Green for graduate school at Washington State University. Crabtree said that Green would make a beneficial addition to the department and details that he is a strong, independent worker.",professional correspondence; letter of recommendation; typewritten,"Ackerman, Robert ""Bob""","Green, James P. (Pat)","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Pullman, Washington",46.729904578240074,-117.18999147718061,CE_B1_F2-Item3,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item3.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item3.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item3_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item3_th.jpg,pdf,B1,F2,F2-Item3
ce_b1_f2-item30,,Letter of recommendation for Bruce Fullem between Donald Crabtree and Jean Aigner,"Aigner, Jean",1971-10-01,1971-10-01,,Typewritten letter from Jean Aigne where she wrote to Crabtree to recommend a student who wants to study under Crabtree: Bruce Fullem. She detailed his qualifications and suggested that he trains under Crabtree while working and studying through the Idaho State University Museum.,professional correspondence; letter of recommendation; typewritten,"Crabtree, Donald ""Don"" E.","Miller, Peter; Black, Robert F.; Laughlin, William S.","Storrs, Connecticut",41.80859147033383,-72.25047221051452,"Pocatello, Idaho",42.89635373189648,-112.20147608628997,CE_B1_F2-Item30,"7.5""x10.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item30.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item30.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item30_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item30_th.jpg,pdf,B1,F2,F2-Item30
ce_b1_f2-item31,,Letter from Kim Akerman to Donald Crabtree,"Akerman, Kim",1975-02-11,1975-02-11,,Typewritten letter from Kim Akerman to Donald Crabtree asking him for more information regarding lithic technology and heat treatment of artifacts. He also requested some tools for flintknapping and offered to send Crabtree a kit from Australia.,professional correspondence; heat treatment; flintknapping; typewritten,"Crabtree, Donald ""Don"" E.","Gould, Dick","Derby, Western Australia",-17.279328565878508,123.6481639336437,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item31,"8""x13""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item31.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item31.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item31_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item31_th.jpg,pdf,B1,F2,F2-Item31
ce_b1_f2-item32,,Letter from Donald Crabtree to Kim Akerman,"Crabtree, Donald ""Don"" E.",1975-04-29,1975-04-29,,Typewritten letter where Agogino wrote to Crabtree to inform him that he had sent half to one fourths of the collection to Crabtree to evaluate and return. He also said that that Irvin Rovner was pleased to have studied under Crabtree.,personal correspondence; lithics; heat treatment,"Akerman, Kim","Gould, Dick","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Derby, Western Australia",-17.279328565878508,123.6481639336437,CE_B1_F2-Item32,"8""x10.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item32.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item32.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item32_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item32_th.jpg,pdf,B1,F2,F2-Item32
ce_b1_f2-item33,,Letter from Kim Akerman to Donald Crabtree,"Akerman, Kim",1975-09-01,1975-09-01,,Typewritten letter from Kim Akerman where he thanked Crabtree for the prints he had sent him and updated him on his current work. He also sent him some of his own artifacts and described how he made them.,professional correspondence; tool exchange; heat treatment; paper; lithics; flintknapping; typewritten,"Crabtree, Donald ""Don"" E.","Gould, Dick; Bordes, Francois; Dortch, Charles","Derby, Western Australia",-17.279328565878508,123.6481639336437,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item33,"8""x13""; 8""x10""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item33.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item33.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item33_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item33_th.jpg,pdf,B1,F2,F2-Item33
